,PI_Code,layer,type,status,tr_rdcode,category,Shape_Leng,stcode
0,,Transportation,Pucca Road,District Road,TPPD,Road,4.530447032932771,28
1,,Transportation,Kutchha Road,Village Road,TPKV,Road,4.431173740036834,28
2,,Transportation,Kutchha Road,Village Road,TPKV,Road,4.452248874465697,28
3,,Transportation,Kutchha Road,Cart Track,TPKC,Road,4.083403224700631,28
4,,Transportation,Kutchha Road,Village Road,TPKV,Road,5.3964436157988,28
5,,Transportation,Kutchha Road,Cart Track,TPKC,Road,4.566937423816506,28
6,,Transportation,Kutchha Road,Village Road,TPKV,Road,1.6091988625068374,28
7,,Transportation,Pucca Road,Village Road,TPPV,Road,0.5034234170389322,28
8,NH-5,Transportation,Pucca Road,National Highway,TPPN,Road,1.3879349380023311,28
9,,Transportation,Pucca Road,Village Road,TPPV,Road,3.832184693896778,28
10,,Transportation,Kutchha Road,Village Road,TPKV,Road,2.3646614864363804,28
11,,Transportation,Kutchha Road,Cart Track,TPKC,Road,0.7121799920572099,28
12,,Transportation,Kutchha Road,Village Road,TPKV,Road,5.292917651668375,28
