Shape_Leng,class,fcode,range,gridcode,Shape_Area,stcode,slcode
4.466528783104494,Very gently sloping,SLVGS,> 1% <= 3%,2,0.08669898086145353,28,SL003
4.2847059853526535,Very gently sloping,SLVGS,> 1% <= 3%,2,0.029310166889612962,28,SL003
5.248870270112446,Steeply sloping,SLSTS,>30% <= 50%,6,0.12024414440821578,28,SL050
3.345002860726676,Gently sloping,SLGSL,> 3% <= 8%,3,0.008655706312113848,28,SL008
1.232295742387316,Moderately steeply sloping,SLMSS,> 15% <= 30%,5,0.022504585492483322,28,SL030
5.228201858463307,Very gently sloping,SLVGS,> 1% <= 3%,2,0.05756440784327444,28,SL003
0.32965707223221236,Very gently sloping,SLVGS,> 1% <= 3%,2,0.06991103100431068,28,SL003
3.150546646282492,Very gently sloping,SLVGS,> 1% <= 3%,2,0.043039691213011766,28,SL003
4.711579588244089,Moderately sloping,SLMOS,> 8% <= 15%,4,0.09220013487930016,28,SL015
3.613307680381744,Very steeply sloping,SLVSS,>50,7,0.07429171846459537,28,SL100
3.158311507017825,Moderately sloping,SLMOS,> 8% <= 15%,4,0.008376295125769036,28,SL015
4.300645590687558,Very steeply sloping,SLVSS,>50,7,0.07135135997000887,28,SL100
0.35851161845304685,Moderately steeply sloping,SLMSS,> 15% <= 30%,5,0.07690994007210519,28,SL030
4.965182198217374,Steeply sloping,SLSTS,>30% <= 50%,6,0.06638599471790388,28,SL050
5.525549630074522,Very steeply sloping,SLVSS,>50,7,0.04025569769565691,28,SL100
1.246270390875963,Very gently sloping,SLVGS,> 1% <= 3%,2,0.09032591544361906,28,SL003
0.3803275133907746,Steeply sloping,SLSTS,>30% <= 50%,6,0.06949390537030793,28,SL050
1.127809742183699,Very gently sloping,SLVGS,> 1% <= 3%,2,0.12219432123019783,28,SL003
4.725977439518137,Very gently sloping,SLVGS,> 1% <= 3%,2,0.08165340250281884,28,SL003
5.536041498207538,Very gently sloping,SLVGS,> 1% <= 3%,2,0.08588102771615701,28,SL003
2.1363306913922515,Moderately steeply sloping,SLMSS,> 15% <= 30%,5,0.03794257001060664,28,SL030
2.928199523597618,Steeply sloping,SLSTS,>30% <= 50%,6,0.02765470343215231,28,SL050
4.901086814483207,Moderately sloping,SLMOS,> 8% <= 15%,4,0.05005919771980217,28,SL015
3.288566197470335,Moderately sloping,SLMOS,> 8% <= 15%,4,0.03137693766462726,28,SL015
1.7578545988334415,Moderately steeply sloping,SLMSS,> 15% <= 30%,5,0.028251841949009412,28,SL030
3.774510558154985,Very gently sloping,SLVGS,> 1% <= 3%,2,0.014583749413685907,28,SL003
1.5650262488750384,Very gently sloping,SLVGS,> 1% <= 3%,2,0.06229302207342642,28,SL003
3.286058188165769,Gently sloping,SLGSL,> 3% <= 8%,3,0.004258695225818413,28,SL008
3.8540003018849815,Moderately sloping,SLMOS,> 8% <= 15%,4,0.11246263310231999,28,SL015
2.7547136512967465,Very gently sloping,SLVGS,> 1% <= 3%,2,0.03366349828177499,28,SL003
2.125663530998806,Gently sloping,SLGSL,> 3% <= 8%,3,0.017386102065460797,28,SL008
0.5276219133445289,Very gently sloping,SLVGS,> 1% <= 3%,2,0.06448820862850418,28,SL003
2.4918549711579874,Moderately sloping,SLMOS,> 8% <= 15%,4,0.07805231070537934,28,SL015
5.664938613290227,Very steeply sloping,SLVSS,>50,7,0.02915356484585122,28,SL100
1.2320739515649939,Very steeply sloping,SLVSS,>50,7,0.030050286279435436,28,SL100
2.1036132396641545,Steeply sloping,SLSTS,>30% <= 50%,6,0.07055051170346209,28,SL050
