PI_CODE,category,dr_code,layer,Shape_Leng,status,stcode
,Stream,DRST,Drainage,4.090758492397125,,28
,Stream,DRST,Drainage,1.5106100797221804,,28
,Stream,DRST,Drainage,0.7827794170055501,,28
,Stream,DRST,Drainage,0.527358229133,,28
,Stream,DRST,Drainage,0.5966015631030099,,28
,Stream,DRST,Drainage,0.20243052514979684,,28
,Stream,DRST,Drainage,1.7653713403883806,,28
,Stream,DRST,Drainage,0.2453500656858943,,28
,Stream,DRST,Drainage,0.7370783214432565,,28
,Stream,DRST,Drainage,0.4095987628780958,,28
,Stream,DRST,Drainage,0.2582856748029582,,28
,Stream,DRST,Drainage,0.1641402845892703,,28
,Stream,DRST,Drainage,0.9369943778638371,,28
,Stream,DRST,Drainage,0.8961363441968992,,28
,Stream,DRST,Drainage,0.5873181198158407,,28
,Stream,DRST,Drainage,0.41351846141682186,,28
,Stream,DRST,Drainage,0.9574562309553053,,28
,Stream,DRST,Drainage,1.2630774641452676,,28
,Stream,DRST,Drainage,1.825516024555923,,28
,Stream,DRST,Drainage,0.12860050182226654,,28
,Stream,DRST,Drainage,0.303963686861186,,28
,Stream,DRST,Drainage,0.1901101778166252,,28
,Stream,DRST,Drainage,0.22036948905527373,,28
,Stream,DRST,Drainage,0.2124605765274369,,28
,Stream,DRST,Drainage,0.02387925056152904,,28
Banshadara Left Main Canal,Main canal,CANM,Canal,0.9741284075394153,,28
,Stream,DRST,Drainage,0.4436765272738934,,28
,Stream,DRST,Drainage,0.27483071708372975,,28
,Stream,DRST,Drainage,0.507939574828988,,28
,Stream,DRST,Drainage,0.10291541862744998,,28
,Stream,DRST,Drainage,0.5241442400071329,,28
,Stream,DRST,Drainage,0.6816143370250467,,28
,Distributory canal,CAND,Canal,0.5103033267349985,,28
